iter	Passed	Remaining
0	130	130715
1	131	65707
2	132	44040
3	133	33227
4	134	26745
5	135	22422
6	136	19346
7	137	17044
8	138	15208
9	138	13748
10	139	12550
11	140	11565
12	141	10730
13	142	10008
14	142	9390
15	143	8850
16	145	8385
17	145	7961
18	146	7577
19	147	7227
20	148	6919
21	149	6636
22	150	6376
23	150	6131
24	151	5911
25	152	5710
26	153	5527
27	154	5351
28	154	5188
29	155	5040
30	156	4898
31	157	4771
32	158	4645
33	159	4530
34	160	4417
35	160	4310
36	161	4212
37	162	4115
38	163	4022
39	164	3939
40	164	3857
41	165	3779
42	166	3708
43	167	3636
44	168	3569
45	169	3506
46	169	3444
47	170	3383
48	171	3330
49	172	3275
50	173	3221
51	174	3172
52	174	3122
53	175	3073
54	176	3028
55	177	2984
56	177	2940
57	178	2899
58	179	2859
59	180	2820
60	180	2781
61	181	2744
62	182	2710
63	182	2675
64	183	2642
65	184	2608
66	184	2576
67	185	2539
68	186	2511
69	186	2482
70	187	2453
71	188	2426
72	189	2400
73	189	2373
74	190	2349
75	191	2325
76	192	2301
77	192	2278
78	193	2254
79	194	2232
80	194	2210
81	195	2189
82	196	2169
83	197	2150
84	197	2127
85	198	2108
86	198	2087
87	199	2070
88	200	2052
89	201	2035
90	201	2017
91	202	2000
92	203	1983
93	204	1967
94	204	1951
95	205	1935
96	206	1920
97	207	1905
98	207	1891
99	208	1876
100	209	1863
101	209	1846
102	210	1832
103	211	1819
104	212	1807
105	212	1794
106	213	1781
107	214	1769
108	214	1757
109	215	1745
110	216	1733
111	217	1722
112	217	1710
113	218	1698
114	219	1687
115	219	1674
116	220	1663
117	220	1651
118	221	1639
119	222	1628
120	222	1617
121	223	1606
122	223	1593
123	224	1583
124	224	1573
125	225	1562
126	225	1552
127	226	1541
128	226	1531
129	227	1521
130	227	1512
131	228	1503
132	229	1493
133	229	1484
134	230	1475
135	230	1467
136	231	1458
137	231	1449
138	232	1440
139	233	1431
140	233	1423
141	234	1415
142	234	1407
143	235	1399
144	236	1391
145	236	1384
146	237	1376
147	237	1368
148	238	1361
149	238	1354
150	239	1346
151	240	1340
152	240	1333
153	241	1326
154	241	1319
155	242	1312
156	243	1305
157	243	1298
158	244	1292
159	244	1285
160	245	1278
161	245	1272
162	246	1266
163	247	1259
164	247	1253
165	248	1247
166	248	1241
167	249	1235
168	250	1229
169	250	1223
170	251	1217
171	251	1211
172	252	1206
173	252	1200
174	253	1195
175	254	1189
176	254	1184
177	255	1178
178	255	1173
179	256	1168
180	256	1162
181	257	1156
182	257	1151
183	258	1146
184	259	1141
185	259	1136
186	260	1131
187	260	1126
188	261	1122
189	262	1117
190	262	1112
191	263	1107
192	263	1103
193	264	1098
194	264	1093
195	265	1089
196	266	1084
197	266	1080
198	267	1075
199	267	1071
200	268	1067
201	269	1062
202	269	1058
203	270	1054
204	270	1050
205	271	1046
206	272	1042
207	272	1038
208	273	1033
209	273	1029
210	274	1025
211	274	1021
212	275	1017
213	276	1013
214	276	1010
215	277	1006
216	277	1002
217	278	998
218	278	994
219	279	990
220	280	987
221	280	983
222	281	979
223	281	976
224	282	972
225	282	969
226	283	965
227	284	962
228	284	958
229	285	955
230	285	951
231	286	948
232	287	944
233	287	941
234	288	938
235	288	935
236	289	931
237	289	928
238	290	925
239	291	921
240	291	918
241	292	915
242	292	912
243	293	908
244	293	905
245	294	902
246	295	899
247	295	896
248	296	893
249	296	890
250	297	887
251	298	884
252	298	881
253	299	878
254	299	876
255	300	873
256	301	870
257	301	867
258	302	864
259	302	861
260	303	858
261	303	856
262	304	853
263	305	850
264	305	847
265	306	845
266	306	842
267	307	839
268	308	837
269	308	834
270	309	831
271	309	828
272	310	826
273	310	823
274	311	821
275	311	818
276	312	815
277	313	813
278	313	810
279	314	808
280	314	805
281	315	803
282	316	800
283	316	798
284	317	795
285	317	793
286	318	791
287	319	788
288	319	786
289	320	783
290	320	781
291	321	779
292	322	777
293	322	774
294	323	772
295	323	770
296	324	767
297	325	765
298	325	763
299	326	761
300	326	758
301	327	756
302	327	754
303	328	752
304	329	749
305	329	747
306	330	745
307	330	743
308	331	741
309	331	738
310	332	736
311	333	734
312	333	732
313	334	730
314	334	728
315	335	726
316	336	724
317	336	721
318	337	719
319	337	717
320	338	715
321	338	713
322	339	711
323	340	709
324	340	707
325	341	705
326	341	703
327	342	701
328	343	699
329	343	697
330	344	695
331	344	693
332	345	691
333	345	689
334	346	687
335	347	686
336	347	684
337	348	682
338	348	680
339	349	678
340	350	676
341	350	674
342	351	672
343	351	671
344	352	669
345	352	667
346	353	665
347	354	663
348	354	661
349	355	659
350	355	658
351	356	656
352	357	654
353	357	652
354	358	650
355	358	649
356	359	647
357	359	645
358	360	643
359	361	641
360	361	640
361	362	638
362	362	636
363	363	634
364	363	633
365	364	631
366	365	629
367	365	628
368	366	626
369	366	624
370	367	623
371	368	621
372	368	619
373	369	618
374	369	616
375	370	614
376	371	613
377	371	611
378	372	609
379	372	608
380	373	606
381	373	604
382	374	603
383	375	601
384	375	600
385	376	598
386	376	596
387	377	595
388	378	594
389	378	592
390	379	591
391	380	589
392	380	588
393	381	586
394	382	585
395	382	583
396	383	582
397	383	580
398	384	579
399	385	577
400	385	576
401	386	574
402	386	573
403	387	571
404	387	569
405	388	568
406	389	566
